Setting,Metric,L-SLR,SLR,RandomForest,XGBoost,CatBoost,TabPFN
Setting 1,ROC-AUC,0.920 ± 0.010,0.916 ± 0.010,0.905 ± 0.012,0.897 ± 0.011,0.908 ± 0.010,0.925 ± 0.009
Setting 1,Brier Score,0.114 ± 0.007,0.117 ± 0.007,0.149 ± 0.012,0.133 ± 0.009,0.125 ± 0.008,0.109 ± 0.007
Setting 2,ROC-AUC,0.501 ± 0.017,0.919 ± 0.009,0.865 ± 0.017,0.848 ± 0.016,0.867 ± 0.017,0.897 ± 0.011
Setting 2,Brier Score,0.254 ± 0.005,0.118 ± 0.005,0.163 ± 0.009,0.162 ± 0.011,0.150 ± 0.011,0.130 ± 0.006
Setting 3,ROC-AUC,0.953 ± 0.007,0.974 ± 0.008,0.968 ± 0.007,0.965 ± 0.006,0.973 ± 0.005,0.982 ± 0.004
Setting 3,Brier Score,0.085 ± 0.007,0.066 ± 0.010,0.084 ± 0.008,0.074 ± 0.008,0.065 ± 0.007,0.051 ± 0.006
Setting 4,ROC-AUC,0.917 ± 0.013,0.900 ± 0.028,0.896 ± 0.014,0.888 ± 0.016,0.904 ± 0.014,0.924 ± 0.012
Setting 4,Brier Score,0.083 ± 0.006,0.089 ± 0.014,0.105 ± 0.007,0.098 ± 0.007,0.092 ± 0.006,0.078 ± 0.006
Setting 5,ROC-AUC,0.928 ± 0.010,0.911 ± 0.017,0.931 ± 0.009,0.922 ± 0.008,0.929 ± 0.008,0.946 ± 0.007
Setting 5,Brier Score,0.104 ± 0.007,0.116 ± 0.013,0.127 ± 0.010,0.115 ± 0.008,0.107 ± 0.007,0.092 ± 0.007
Setting 6,ROC-AUC,0.874 ± 0.013,0.962 ± 0.008,0.919 ± 0.010,0.925 ± 0.012,0.937 ± 0.010,0.964 ± 0.007
Setting 6,Brier Score,0.141 ± 0.008,0.078 ± 0.014,0.122 ± 0.006,0.107 ± 0.010,0.098 ± 0.009,0.072 ± 0.007
Setting 7,ROC-AUC,0.838 ± 0.016,0.811 ± 0.019,0.818 ± 0.017,0.807 ± 0.018,0.817 ± 0.018,0.844 ± 0.015
Setting 7,Brier Score,0.165 ± 0.008,0.177 ± 0.009,0.195 ± 0.008,0.185 ± 0.013,0.177 ± 0.009,0.161 ± 0.008
Setting 7+,ROC-AUC,0.910 ± 0.012,0.939 ± 0.009,0.940 ± 0.010,0.941 ± 0.009,0.946 ± 0.007,0.961 ± 0.005
Setting 7+,Brier Score,0.118 ± 0.008,0.102 ± 0.015,0.118 ± 0.010,0.099 ± 0.009,0.094 ± 0.007,0.077 ± 0.006
